method,combo,anchor,alpha,beta,gamma,path
baseline_interp,wet_gravel_scrape,72e40b413bdb,,,,/home/atorsaev/projects/tecniacustica-prospect/outputs/baseline_interp/full/wet_gravel_scrape_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.3,0.3,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.3_b0.3_g0.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.3,0.3,0.5,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.3_b0.3_g0.5_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.3,0.3,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.3_b0.3_g1.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.3,0.6,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.3_b0.6_g0.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.3,0.6,0.5,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.3_b0.6_g0.5_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.3,0.6,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.3_b0.6_g1.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.3,0.9,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.3_b0.9_g0.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.3,0.9,0.5,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.3_b0.9_g0.5_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.3,0.9,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.3_b0.9_g1.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.6,0.3,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.6_b0.3_g0.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.6,0.3,0.5,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.6_b0.3_g0.5_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.6,0.3,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.6_b0.3_g1.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.6,0.6,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.6_b0.6_g0.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.6,0.6,0.5,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.6_b0.6_g0.5_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.6,0.6,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.6_b0.6_g1.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.6,0.9,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.6_b0.9_g0.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.6,0.9,0.5,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.6_b0.9_g0.5_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.6,0.9,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.6_b0.9_g1.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.9,0.3,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.9_b0.3_g0.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.9,0.3,0.5,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.9_b0.3_g0.5_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.9,0.3,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.9_b0.3_g1.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.9,0.6,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.9_b0.6_g0.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.9,0.6,0.5,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.9_b0.6_g0.5_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.9,0.6,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.9_b0.6_g1.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.9,0.9,0.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.9_b0.9_g0.0_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.9,0.9,0.5,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.9_b0.9_g0.5_anchor1.wav
A,wet_gravel_scrape,72e40b413bdb,0.9,0.9,1.0,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/wet_gravel_scrape_a0.9_b0.9_g1.0_anchor1.wav
